"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SP09","4092","","","AAAD","AAAD-A","100","11434","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","12","13",""," 3.917"," 3.312","7.7","91.7","8.3","0.0","0.0","1","4","7","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","110","11435","AFRICAN AMERCN CHORAL ENSEMBLE","McCutchen,Keith D.","21","22",""," 3.952"," 3.047","4.5","95.2","4.8","0.0","0.0","1","14","6","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","120","11436","SOUL REVUE","Williams Jr,Dennis N","15","15",""," 4.000"," 2.948","0.0","100.0","0.0","0.0","0.0","0","3","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","142","11438","INTRO WRITNG & ST OF BL LIT 2","Drieling,Claudia Ingrid Hildegard","42","48",""," 2.898"," 2.768","0.0","38.1","38.1","11.9","7.1","8","3","8","5","5","4","7","0","2","3","1","0","2","2","2","4","0","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","150","11442","SURV CULTR OF BLACK AMERICANS","Berrey,Stephen A.","152","160",""," 3.155"," 2.811","3.8","34.9","50.7","13.2","1.3","8","0","17","36","31","31","15","7","10","3","0","0","2","0","5","3","0","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","205","32431","BLACK ELECTORAL POLITICS","Stanfield,John H.","21","73",""," 1.824"," 2.476","0.0","38.1","4.8","4.8","4.8","62","5","3","0","1","0","0","0","1","0","0","1","0","10","24","23","4","0","1","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","263","13459","CONTEMP SOC ISS-AFR AMER COMM","Stanfield,John H.","10","36",""," 3.440"," 2.629","10.0","50.0","50.0","0.0","0.0","26","3","1","1","1","2","2","0","0","0","0","0","0","0","10","16","0","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","265","11447","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","170","179",""," 3.437"," 3.032","0.0","52.4","40.0","6.5","1.2","9","9","62","18","23","39","6","2","8","1","1","1","0","0","2","7","0","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","277","32249","IMGS BLACKS FILMS: 1903-1950'S","Wall,David Clifford","39","49",""," 2.249"," 2.744","4.5","15.4","35.9","28.2","7.7","15","0","0","6","2","6","6","3","4","4","1","1","1","5","5","5","0","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","295","29681","SURVEY OF HIP HOP","Orejuela,Fernando","71","97",""," 2.555"," 2.701","3.5","26.8","26.8","31.0","11.3","29","2","6","11","4","8","7","7","8","7","3","4","1","3","11","12","2","0","1","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","350","26104","BLACK ATLANTIC","Assensoh,Akwasi B.","48","51",""," 3.425"," 2.750","10.0","31.3","68.8","0.0","0.0","3","2","11","2","21","11","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","354","26105","TRANSNATIONAL AMERICAS","Guterl,Matthew T","26","27",""," 3.392"," 2.794","3.7","38.5","57.7","3.8","0.0","1","1","4","5","11","1","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","356","11467","AFRICAN-AMERICAN HISTORY II","Assensoh,Akwasi B.","63","66",""," 3.325"," 2.837","19.0","20.6","79.4","0.0","0.0","3","1","7","5","30","20","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","359","29443","ETHNIC/RACIAL FILM STEREOTYPES","Wall,David Clifford","36","46",""," 2.456"," 2.516","9.8","16.7","27.8","44.4","8.3","11","0","3","3","4","1","5","6","5","5","1","2","0","1","3","5","2","0","0","0","0","0","0","0","06-12-2009"
"SP09","4092","","","AAAD","AAAD-A","380","26103","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","31","33",""," 3.500"," 2.895","25.8","45.2","54.8","0.0","0.0","2","1","5","8","14","2","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-12-2009"
