"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SU20","4205","6W2","Six Week - Second","AAAD","AAAD-A","132","7389","RECENT AAAD LITERATURE","Elmore,Raheem Terrell Rashawn","8","10",""," 3.513"," 3.400","0","62.5","37.5","0.0","0.0","2","1","1","3","1","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","09-11-2020"
"SU20","4205","6W2","Six Week - Second","AAAD","AAAD-A","150","7390","SURV CULTR OF BLACK AMERICANS","Duckett,Taylor Dulea","15","15",""," 3.767"," 3.563","0","86.7","13.3","0.0","0.0","0","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-11-2020"
"SU20","4205","6W2","Six Week - Second","AAAD","AAAD-A","169","7391","INTRO TO AFRICAN AMERICAN LIT","Horton,Samantha Marie","10","10",""," 3.470"," 3.226","0","70.0","10.0","20.0","0.0","0","1","3","3","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-11-2020"
"SU20","4205","6W2","Six Week - Second","AAAD","AAAD-A","265","7777","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","18","27",""," 3.656"," 3.509","0","72.2","27.8","0.0","0.0","9","0","6","7","3","2","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","09-11-2020"
"SU20","4205","6W2","Six Week - Second","AAAD","AAAD-A","388","8295","MOTOWN","Sykes,Charles Evans","29","38",""," 2.834"," 2.641","3","24.1","51.7","17.2","3.4","10","0","3","4","3","4","8","3","1","1","1","0","0","1","3","5","0","0","1","0","0","0","0","0","09-11-2020"
"SU20","4205","1","Regular Academic Session","AAAD","AAAD-A","799","6101","STUDY&RESEARCH ABROAD IN AAADS","Calloway-Thomas,Carolyn","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
"SU20","4205","1","Regular Academic Session","AAAD","AAAD-A","899","6080","PHD DISSERTATION RESEARCH","Calloway-Thomas,Carolyn","0","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
"SU20","4205","6W1","Six Week - First","AADM","AADM-Y","550","3822","PRACTICUM IN ARTS ADMIN","Starnes,Megan R","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
"SU20","4205","6W1","Six Week - First","AADM","AADM-Y","690","7090","INDPT STUDY IN ARTS ADMIN","Rushton,Michael","8","10",""," 3.838"," 3.755","87.5","87.5","12.5","0.0","0.0","2","0","5","2","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","09-11-2020"
"SU20","4205","1","Regular Academic Session","AADM","AADM-Y","750","14822","INTERNSHIP IN ARTS ADMIN","Redman,Miranda Darlene","3","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
"SU20","4205","1","Regular Academic Session","AADM","AADM-Y","750","7230","INTERNSHIP IN ARTS ADMIN","Redman,Miranda Darlene","3","7","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
"SU20","4205","6W1","Six Week - First","ABEH","ABEH-X","473","5019","ANIMAL BEHAVIOR INTERNSHIP","Smith,Adam Ray","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
"SU20","4205","1","Regular Academic Session","ABEH","ABEH-X","473","5020","ANIMAL BEHAVIOR INTERNSHIP","Smith,Adam Ray","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
"SU20","4205","8W2","Eight Week - Second","ABEH","ABEH-X","473","6841","ANIMAL BEHAVIOR INTERNSHIP","Smith,Adam Ray","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
"SU20","4205","1","Regular Academic Session","AFRI","AFRI-A","651","5314","IND RESEARCH/DIRECTED READINGS","Hanson,John Henry","1","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
"SU20","4205","4W1","Four Week - First","AFRI","AFRI-L","100","13095","TOPICS IN AFRI SOCIETY&CULTURE","Sow,Amadou Beidy","7","8",""," 4.000"," 2.894","0","100.0","0.0","0.0","0.0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","09-11-2020"
"SU20","4205","6W2","Six Week - Second","AFRI","AFRI-L","100","14133","TOPICS IN AFRI SOCIETY&CULTURE","Afoaku,Oyibo Helisita","22","23",""," 4.000"," 3.562","0","100.0","0.0","0.0","0.0","1","17","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-11-2020"
"SU20","4205","8W2","Eight Week - Second","AFRI","AFRI-L","506","5317","TUTORIAL INSTRUCT FOREIGN LANG","Omar,Alwiya Saleh","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
"SU20","4205","4W2","Four Week - Second","AFRI","AFRI-S","101","8576","ELEMENTARY SWAHILI 1","Evans,Kathleen","6","6",""," 3.800"," 3.492","0","100.0","0.0","0.0","0.0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-11-2020"
"SU20","4205","4W3","Four Week - Third","AFRI","AFRI-S","102","8578","ELEMENTARY SWAHILI 2","Evans,Kathleen","5","6","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-11-2020"
