"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SP08","4082","","","AAAD","AAAD-A","100","12166","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","17","17",""," 4.000"," 2.951","0.0","100.0","0.0","0.0","0.0","0","6","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","110","12167","AFRICAN AMERCN CHORAL ENSEMBLE","McCutchen,Keith Dwayne","8","11",""," 3.925"," 2.869","0.0","100.0","0.0","0.0","0.0","3","3","3","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","120","12168","SOUL REVUE","Williams Jr,Dennis N","11","13",""," 4.000"," 2.989","0.0","100.0","0.0","0.0","0.0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","142","12170","INTRO WRITNG & ST OF BL LIT 2","McElroy,Frederick","64","72",""," 3.373"," 2.659","1.4","54.7","34.4","9.4","0.0","9","0","24","11","6","14","2","2","2","2","0","0","0","1","5","2","1","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","150","12174","SURV CULTR OF BLACK AMERICANS","Berrey,Stephen A.","151","166",""," 3.152"," 2.793","0.6","41.7","42.4","10.6","4.0","17","1","24","38","28","23","13","7","5","4","2","2","2","2","10","5","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","169","25159","INTRO TO AFRO-AMER LITERATURE","McCluskey Jr,John A.","32","41",""," 2.753"," 2.714","5.4","15.6","50.0","31.3","3.1","9","0","2","3","5","5","6","2","6","2","1","0","0","0","5","4","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","255","25160","THE BLACK CHURCH IN AMERICA","McElroy,Frederick","17","22",""," 3.565"," 2.633","5.3","52.9","47.1","0.0","0.0","5","0","4","5","7","1","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","265","12179","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A","170","178",""," 3.666"," 3.006","1.2","73.5","22.9","3.5","0.0","8","4","90","31","15","21","3","2","2","2","0","0","0","0","1","7","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","290","13097","SOCIO-CULT PERSP/AFRO-AMER MUS","Orejuela,Fernando Alfonso","48","59",""," 2.898"," 2.834","2.0","27.1","45.8","20.8","4.2","12","0","5","8","10","9","3","3","4","3","0","0","2","1","1","8","2","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","356","12203","AFRO-AMERICAN HISTORY 2","Grim,Valerie","83","93",""," 3.158"," 2.781","5.7","32.5","62.7","0.0","2.4","12","0","3","24","18","27","7","0","0","0","0","2","0","2","4","5","0","0","1","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","393","12182","HISTORY OF JAZZ","Baker,David Nathaniel","33","44",""," 3.021"," 2.785","7.5","42.4","33.3","15.2","3.0","13","6","8","0","0","9","2","2","2","1","0","1","0","2","6","4","1","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","398","29947","ADV TPCS IN SOCIAL&HIST AAADS","De La Cova,Carlina Maria","48","64",""," 3.096"," 2.733","1.9","35.4","45.8","8.3","6.3","18","0","17","0","11","11","0","1","3","0","0","3","0","2","4","12","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","399","29940","ADV TPCS ARTS&HUMANITIES AAADS","Rosa,Iris","24","31",""," 3.163"," 2.826","3.6","54.2","12.5","29.2","0.0","8","5","8","0","1","1","1","4","2","1","0","0","0","1","2","3","0","0","2","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","399","31839","ADV TPCS ARTS&HUMANITIES AAADS","De La Cova,Carlina Maria","45","49",""," 3.164"," 2.655","2.1","46.7","28.9","17.8","2.2","6","0","21","0","6","7","0","2","6","0","0","1","0","2","2","2","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","400","28121","TOPICS IN AFRO-AMERICAN STDS","Julien,Eileen","8","13",""," 2.788"," 2.848","36.4","12.5","50.0","37.5","0.0","5","0","1","0","1","1","2","2","1","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","430","25167","THE CINEMA OF AFRICANA WOMEN","McCluskey,Audrey","42","65",""," 2.879"," 2.695","16.0","19.0","59.5","19.0","0.0","24","0","0","8","6","9","10","6","1","1","0","0","0","1","8","15","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","480","25169","THE BLACK NOVEL","McCluskey Jr,John A.","25","31",""," 2.604"," 2.716","16.1","20.0","44.0","24.0","4.0","8","0","1","4","4","2","5","4","1","1","0","0","1","2","5","0","1","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","481","27373","RACISM AND THE LAW","Motley,Frank","25","37",""," 2.968"," 2.490","15.6","20.0","60.0","16.0","0.0","13","1","2","2","9","1","5","2","2","0","0","0","0","1","5","5","2","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","486","12184","INTRNSHP IN AFRO-AMERICAN STDS","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","489","25683","RAP MUSIC","Orejuela,Fernando Alfonso","10","18",""," 2.530"," 2.649","25.0","20.0","40.0","20.0","10.0","9","0","1","1","1","2","1","1","1","0","1","0","0","1","2","6","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","495","12185","INDIV RDGS AFRO-AMER STUDIES","Grim,Valerie","3","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","495","12186","INDIV RDGS AFRO-AMER STUDIES","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","495","12189","INDIV RDGS AFRO-AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","495","12190","INDIV RDGS AFRO-AMER STUDIES","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","495","12191","INDIV RDGS AFRO-AMER STUDIES","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","495","12192","INDIV RDGS AFRO-AMER STUDIES","Grim,Valerie","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","499","12195","HONORS THESIS","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","503","12196","INTR AFRC AM&AFRC DIASP PART 2","McCluskey,Audrey","8","8",""," 3.800"," 3.770","75.0","87.5","12.5","0.0","0.0","0","0","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","504","28122","BLACK PARIS","Julien,Eileen","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","542","25378","POSTCOLONL METROPOLITN CINEMAS","Martin,Michael T","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","590","25178","SPECIAL TOPICS AFRO-AMER STDS","Bailey,Marlon M","1","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","594","25684","BLACK MUSIC IN AMERICA","Maultsby,Portia K","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","603","25180","VARIATIONS ON BLACKNESS,PRT II","Guterl,Matthew T","4","6","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","669","12198","INDEP PROJ BLACK SOCIAL ISSUES","Grim,Valerie","3","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","680","25170","THE BLACK NOVEL","McCluskey Jr,John A.","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","686","29921","GRAD INTERNSHIP AFRO-AMER STDS","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","689","12199","INDEP. PROG. IN BLK LITERATURE","Grim,Valerie","1","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","691","25184","HIST STDYS AFRC AM&AFRC DIASP","Seigel,Micol","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","694","14109","THE ARTS IN AFRC AM&AFRC DIASP","McElroy,Frederick","7","7",""," 3.957"," 3.838","57.1","100.0","0.0","0.0","0.0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","695","12200","MASTER'S THESIS COLLOQUIUM","Selka,Stephen","7","7",""," 3.243"," 3.711","100.0","71.4","14.3","0.0","0.0","1","0","3","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AAAD","AAAD-A","698","12201","FIELD STUDY SEMINAR","Grim,Valerie","7","9",""," 4.000"," 3.797","88.9","100.0","0.0","0.0","0.0","2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AADM","AADM-Y","412","5105","OPERA MANAGEMENT","Hunt,Christopher","9","12",""," 2.989"," 3.429","50.0","22.2","66.7","0.0","0.0","4","0","1","1","4","2","0","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AADM","AADM-Y","500","25604","TOPICS IN ARTS ADMINISTRATION","Kase,Teresa M","24","25",""," 3.488"," 3.693","100.0","62.5","25.0","12.5","0.0","1","8","4","3","2","3","1","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AADM","AADM-Y","500","26175","TOPICS IN ARTS ADMINISTRATION","Kirk,Judith Ann","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AADM","AADM-Y","505","27246","PROGRAMMNG THE PERFORMING ARTS","Hunt,Christopher","18","22",""," 3.194"," 3.656","84.2","61.1","27.8","0.0","0.0","6","1","2","8","4","0","1","0","0","0","0","0","0","2","1","3","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AADM","AADM-Y","530","14105","AUDIENCE DEV & MRKTG THE ARTS","Williams,Theresa D","25","26",""," 3.844"," 3.710","88.0","88.0","12.0","0.0","0.0","1","0","17","5","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AADM","AADM-Y","550","5106","PRACTICUM IN ARTS ADMIN","Bonser,Charles F","0","15","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AADM","AADM-Y","626","14106","DESKTOP COMPUTER COMMUNICATION","Payne,Christopher Joseph","0","24","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AADM","AADM-Y","690","5107","INDPT STUDY IN ARTS ADMIN","Rushton,Michael Johnstone","3","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AADM","AADM-Y","750","5108","INTERNSHIP IN ARTS ADMIN","Bonser,Charles F","3","15","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","ABEH","ABEH-A","495","12978","ANIMAL BEHAVIOR INTERNSHIP","Demas,Gregory","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","ABEH","ABEH-A","501","5109","SEM INTEG STDY OF ANM BEH","Timberlake,William D.","8","10",""," 3.800"," 3.934","0.0","87.5","12.5","0.0","0.0","2","0","4","3","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AERO","AERO-A","100","5110","INTRO TO AEROSPACE STUDIES","Boesiger,Darin D.","53","60",""," 3.192"," 2.551","0.0","56.6","30.2","1.9","1.9","12","13","3","14","9","4","3","1","0","0","1","0","0","5","2","5","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AERO","AERO-A","102","5111","THE AIR FORCE TODAY II","Boesiger,Darin D.","7","8",""," 3.814"," 3.076","0.0","85.7","14.3","0.0","0.0","1","1","4","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AERO","AERO-A","102","5112","THE AIR FORCE TODAY II","Boesiger,Darin D.","9","10",""," 3.789"," 2.799","0.0","88.9","11.1","0.0","0.0","1","1","4","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AERO","AERO-A","202","5115","THE DEV OF AIR POWER II","Scott,Roger Alan","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AERO","AERO-A","202","5116","THE DEV OF AIR POWER II","Scott,Roger Alan","11","12",""," 3.727"," 2.811","0.0","72.7","27.3","0.0","0.0","1","2","3","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AERO","AERO-A","302","5119","AIR FORCE MGMT & LEADERSHIP II","Scott,Roger Alan","7","7",""," 3.586"," 3.128","0.0","71.4","28.6","0.0","0.0","0","0","1","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AERO","AERO-A","402","5123","NTL SEC FRC IN CONT AM SOC II","Golden,John D.","6","6",""," 3.567"," 3.459","0.0","66.7","33.3","0.0","0.0","0","0","1","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AFRI","AFRI-A","650","24989","INTERDISCIPLINARY RESRCH MTHDS","Grosz-Ngate',Maria","3","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AFRI","AFRI-A","651","15560","IND RESEARCH/DIRECTED READINGS","Grosz-Ngate',Maria","3","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AFRI","AFRI-A","731","24990","SEMINAR ON CONTEMPORARY AFRICA","Stone,Ruth Marie","5","7","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2008"
"SP08","4082","","","AFRI","AFRI-L","232","15138","CONTEMPORARY AFRICA","Muhammad,Baqie Badawi","31","38",""," 3.245"," 3.079","0.0","38.7","51.6","6.5","0.0","8","3","2","7","10","4","2","1","1","0","0","0","0","1","3","4","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AMID","AMID-H","168","15241","BEGINNING INTERIOR DESIGN","Wu,Jiangmei","8","11",""," 2.375"," 2.413","22.2","0.0","62.5","25.0","0.0","4","0","0","0","1","2","2","1","1","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AMID","AMID-H","168","5127","BEGINNING INTERIOR DESIGN","Lipsick-Newman,Marleen R","18","32",""," 2.867"," 3.039","15.8","5.6","88.9","5.6","0.0","14","0","0","1","1","7","8","0","1","0","0","0","0","0","1","13","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AMID","AMID-H","191","28178","DESIGN STUDIES:FORM & FUNCTION","Smith,Kennon Michelle","14","19",""," 3.643"," 2.952","17.6","64.3","35.7","0.0","0.0","5","0","6","3","3","2","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AMID","AMID-H","203","5128","TEXTILES","Embry,Mary Christine","120","131",""," 3.163"," 2.942","58.4","35.8","55.0","6.7","1.7","12","0","13","30","15","34","17","4","4","0","0","2","0","1","5","6","0","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AMID","AMID-H","204","25629","APPAREL MFG & QUALITY ANALYSIS","Bomberger,David Rick","40","42",""," 2.960"," 2.907","95.2","35.0","37.5","17.5","10.0","2","0","5","9","6","7","2","2","4","1","2","2","0","0","1","0","1","0","0","0","0","0","0","0","06-09-2008"
"SP08","4082","","","AMID","AMID-H","204","5133","APPAREL MFG & QUALITY ANALYSIS","Bomberger,David Rick","34","35",""," 3.079"," 2.843","94.3","32.4","44.1","23.5","0.0","1","0","7","4","4","8","3","4","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-09-2008"
