"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"S110","4105SS1","","","AAAD","AAAD-A","388","8682","MOTOWN","Sykes,Charles Evans","22","23",""," 2.627"," 2.674","9.1","22.7","31.8","36.4","9.1","1","1","1","3","2","2","3","2","2","4","2","0","0","0","0","1","0","0","0","0","0","0","0","0","07-16-2010"
"S110","4105SS1","","","AAAD","AAAD-A","495","8686","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-16-2010"
"S110","4105SS1","","","AAAD","AAAD-A","495","8703","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-16-2010"
"S110","4105SS1","","","AAAD","AAAD-A","495","9806","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-16-2010"
"S110","4105SS1","","","AAAD","AAAD-A","499","15121","HONORS THESIS","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-16-2010"
"S110","4105SS1","","","AAAD","AAAD-A","590","15835","SPECIAL TOPICS AFRO-AMER STDS","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-16-2010"
"S110","4105SS1","","","AAAD","AAAD-A","669","8712","INDEP PROJ BLACK SOCIAL ISSUES","Grim,Valerie","1","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-16-2010"
"S110","4105SS1","","","AAAD","AAAD-A","698","8714","FIELD STUDY SEMINAR","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-16-2010"
"S110","4105SS1","","","AADM","AADM-Y","550","6401","PRACTICUM IN ARTS ADMIN","Rushton,Michael","0","6","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-16-2010"
"S110","4105SS1","","","AADM","AADM-Y","750","6406","INTERNSHIP IN ARTS ADMIN","Rushton,Michael","0","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-16-2010"
"S110","4105SS1","","","ABEH","ABEH-A","495","9368","ANIMAL BEHAVIOR INTERNSHIP","Demas,Gregory","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-16-2010"
