"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHERCNT","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","100","3969","AF AM DANCE COMPNY FOUNDATIONS","Berry Jr,Stafford C","3","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","110","3970","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","11","17",""," 3.855"," 3.073","0","90.9","9.1","0.0","0.0","6","4","3","3","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","3","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","113","8719","ATKINS LLC FOUNDATIONAL COURSE","Stokes,Brandon","9","10",""," 3.567"," 3.073","0","77.8","11.1","11.1","0.0","1","2","2","3","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","120","3971","SOUL REVUE FOUNDATIONS","Strong Jr,James Augustas","12","12",""," 4.000"," 3.379","0","100.0","0.0","0.0","0.0","0","4","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","150","3972","SURV CULTR OF BLACK AMERICANS","Duckett,Taylor Dulea","35","41",""," 3.551"," 3.272","5.3","74.3","17.1","5.7","2.9","6","11","7","8","2","2","2","0","1","1","0","1","0","0","3","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","150","3973","SURV CULTR OF BLACK AMERICANS","Clark,Madison Stephens","35","40",""," 3.040"," 3.022","2.6","37.1","42.9","14.3","0.0","7","3","8","2","3","6","6","4","0","1","0","0","0","2","3","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","154","10325","HISTORY OF RACE IN AMERICAS","Horton,Samantha Marie","34","37",""," 3.459"," 3.264","0","61.8","29.4","8.8","0.0","3","6","12","3","1","4","5","0","2","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","238","7784","COMMUNICATION IN BLACK AMERICA","Calloway-Thomas,Carolyn","18","38",""," 2.706"," 2.858","0","11.1","61.1","22.2","0.0","21","0","0","2","3","3","5","3","1","0","0","0","0","1","10","8","2","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","265","3974","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","154","169",""," 3.333"," 3.019","0","55.8","34.4","4.5","1.3","21","14","39","33","23","21","9","4","1","2","0","0","2","6","6","8","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","8W2","Eight Week - Second","AAAD","AAAD-A","275","37863","BLACK DIASPORA LANG & IDENTITY","Smith,Candis D","21","27",""," 2.800"," 2.900","0","28.6","42.9","19.0","4.8","7","0","3","3","2","4","3","1","2","1","0","1","0","1","3","2","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","278","31847","CONTEMPORARY BLACK FILM","Rodriguez,Judith","33","36",""," 3.748"," 3.304","2.9","81.8","12.1","6.1","0.0","3","15","8","4","2","1","1","2","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","295","6132","SURVEY OF HIP HOP","Orejuela,Fernando","86","97",""," 3.663"," 3.221","2.2","84.9","5.8","4.7","0.0","15","59","10","4","3","2","0","1","3","0","0","0","0","4","4","7","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","297","12853","POPULAR MUSIC OF BLACK AMERICA","Cooper,Tyron","32","41",""," 3.513"," 3.344","2.9","75.0","12.5","6.3","3.1","10","7","10","7","4","0","0","1","1","0","0","1","0","1","3","6","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","304","31649","BLACK PARIS","Julien,Eileen","9","10",""," 3.000"," 3.096","0","22.2","55.6","22.2","0.0","1","0","2","0","2","2","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","337","8720","SOUL REVUE ADV STU PRACT","Strong Jr,James Augustas","9","9",""," 4.000"," 3.306","11.1","100.0","0.0","0.0","0.0","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","338","8721","AF AM DANCE CO ADV STDIES PRAC","Berry Jr,Stafford C","3","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","339","8722","AACE ADV STU AND PRACT","Wise,Raymond","11","13",""," 4.000"," 3.356","15.4","100.0","0.0","0.0","0.0","2","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","354","30146","TRANSNATIONAL AMERICAS","Smith,Candis D","12","13",""," 2.467"," 2.561","25","25.0","33.3","16.7","8.3","3","1","1","1","1","3","0","1","1","0","1","0","0","2","0","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","356","3981","AFRICAN-AMERICAN HISTORY II","Williams,Jakobi","39","44",""," 2.736"," 2.970","5","23.1","43.6","17.9","7.7","8","0","8","1","6","11","0","4","3","0","0","3","0","3","1","4","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","8W2","Eight Week - Second","AAAD","AAAD-A","360","37500","SLAVERY: WORLDWIDE PERSPECTIVE","Amoah-Ramey,Nana Abena Dansowaa","11","16",""," 2.373"," 2.677","0","45.5","18.2","0.0","9.1","8","3","0","2","0","1","1","0","0","0","0","1","0","3","2","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","380","4771","CONTEMP BLACK AMER WRITING","Amoah-Ramey,Nana Abena Dansowaa","24","29",""," 3.363"," 3.310","28","58.3","29.2","8.3","0.0","6","6","5","3","1","6","0","1","1","0","0","0","0","1","1","4","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","398","9489","ADV TPCS IN SOCIAL&HIST AAADS","Hamilton Abegunde,Maria Eliza","16","22",""," 3.375"," 2.927","10","68.8","12.5","6.3","12.5","6","0","11","0","0","2","0","0","1","0","0","2","0","0","4","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","408","12678","RACE, GENDER AND CLASS","Smith,Candis D","31","41",""," 2.671"," 3.144","11.1","29.0","35.5","19.4","9.7","12","1","5","3","6","2","3","2","1","3","0","0","3","2","5","5","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","420","8594","TRANSFORMNG DIV COMM&SOCIETIES","Calloway-Thomas,Carolyn","1","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
"SP21","4212","8W2","Eight Week - Second","AAAD","AAAD-A","496","30148","BLACK RELIGIOUS MUSIC","Wise,Raymond","21","25",""," 3.195"," 2.727","13.6","38.1","52.4","4.8","4.8","4","3","3","2","3","6","2","0","0","1","0","0","1","0","0","3","0","0","1","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","499","3976","HONORS THESIS","Calloway-Thomas,Carolyn","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","590","10079","SPECIAL TOPICS AFRO-AMER STDS","Hamilton Abegunde,Maria Eliza","5","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
"SP21","4212","1","Regular Academic Session","AAAD","AAAD-A","599","5963","MA THESIS RESEARCH","Calloway-Thomas,Carolyn","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
