"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SU21","4215","6W2","Six Week - Second","AAAD","AAAD-A","132","7365","RECENT AAAD LITERATURE","Elmore,Raheem Terrell Rashawn","37","47",""," 3.497"," 3.415","0","56.8","37.8","5.4","0.0","10","4","10","7","4","10","0","1","1","0","0","0","0","0","1","9","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W2","Six Week - Second","AAAD","AAAD-A","150","7366","SURV CULTR OF BLACK AMERICANS","Duckett,Taylor Dulea","18","22",""," 3.756"," 3.586","0","77.8","16.7","5.6","0.0","4","3","10","1","3","0","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W2","Six Week - Second","AAAD","AAAD-A","169","7367","INTRO TO AFRICAN AMERICAN LIT","Horton,Samantha Marie","27","29",""," 3.163"," 3.030","0","59.3","22.2","7.4","0.0","5","5","8","3","4","0","2","0","1","1","0","0","0","3","0","2","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W2","Six Week - Second","AAAD","AAAD-A","265","7753","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","35","36",""," 3.743"," 3.424","0","77.1","20.0","2.9","0.0","1","10","13","4","3","4","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W2","Six Week - Second","AAAD","AAAD-A","388","8271","MOTOWN","Sykes,Charles Evans","25","34",""," 2.636"," 2.621","0","20.0","40.0","28.0","4.0","11","0","1","4","6","1","3","4","3","0","0","1","0","2","4","5","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","1","Regular Academic Session","AAAD","AAAD-A","669","4818","INDEP PROJ BLACK SOCIAL ISSUES","Calloway-Thomas,Carolyn","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W1","Six Week - First","AAAD","AAAD-A","697","7858","SPECIAL TOPICS IN AAADS","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","1","Regular Academic Session","AAAD","AAAD-A","799","6078","STUDY&RESEARCH ABROAD IN AAADS","Calloway-Thomas,Carolyn","3","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","1","Regular Academic Session","AAAD","AAAD-A","899","6057","PHD DISSERTATION RESEARCH","Calloway-Thomas,Carolyn","0","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","1","Regular Academic Session","AAAD","AAAD-G","901","15768","ADVANCED RESEARCH","Williams,Jakobi","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","1","Regular Academic Session","AAAD","AAAD-X","490","7508","INDIV READ IN AFR AMER STUDIES","Calloway-Thomas,Carolyn","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W2","Six Week - Second","AADM","AADM-Y","750","15102","INTERNSHIP IN ARTS ADMIN","Redman,Miranda Darlene","0","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","1","Regular Academic Session","AADM","AADM-Y","750","7206","INTERNSHIP IN ARTS ADMIN","Redman,Miranda Darlene","8","12",""," 4.000"," 3.805","75","100.0","0.0","0.0","0.0","4","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W1","Six Week - First","ABEH","ABEH-A","101","13598","INTRO ANIMAL BEHAVIOR","Smith,Adam Ray","33","37",""," 3.424"," 3.146","23.5","54.5","33.3","12.1","0.0","4","7","5","6","6","3","2","3","0","1","0","0","0","0","1","3","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W1","Six Week - First","ABEH","ABEH-X","473","4997","ANIMAL BEHAVIOR INTERNSHIP","Smith,Adam Ray","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","1","Regular Academic Session","ABEH","ABEH-X","473","4998","ANIMAL BEHAVIOR INTERNSHIP","Smith,Adam Ray","0","10","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","8W2","Eight Week - Second","ABEH","ABEH-X","473","6818","ANIMAL BEHAVIOR INTERNSHIP","Smith,Adam Ray","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","4W2","Four Week - Second","AFRI","AFRI-K","101","13956","ELEMENTARY AKAN I","Evans,Kathleen","2","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","4W3","Four Week - Third","AFRI","AFRI-K","102","13958","ELEMENTARY AKAN II","Evans,Kathleen","2","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W2","Six Week - Second","AFRI","AFRI-L","100","13878","TOPICS IN AFRI SOCIETY&CULTURE","Afoaku,Oyibo Helisita","23","27",""," 3.961"," 3.480","0","100.0","0.0","0.0","0.0","4","3","17","3","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","4W1","Four Week - First","AFRI","AFRI-L","100","13915","TOPICS IN AFRI SOCIETY&CULTURE","Sow,Amadou Beidy","4","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","4W2","Four Week - Second","AFRI","AFRI-L","100","15552","TOPICS IN AFRI SOCIETY&CULTURE","Dlamini,Betty Sibongile","2","7","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","4W2","Four Week - Second","AFRI","AFRI-S","101","8552","ELEMENTARY SWAHILI 1","Evans,Kathleen","6","8",""," 3.783"," 3.027","0","83.3","16.7","0.0","0.0","2","2","2","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","4W3","Four Week - Third","AFRI","AFRI-S","102","8554","ELEMENTARY SWAHILI 2","Evans,Kathleen","4","8","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","4W2","Four Week - Second","AFRI","AFRI-S","501","8553","ELEMENTARY SWAHILI I","Evans,Kathleen","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","4W3","Four Week - Third","AFRI","AFRI-S","502","8555","ELEMENTARY SWAHILI II","Evans,Kathleen","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","4W2","Four Week - Second","AFRI","AFRI-X","390","15276","READINGS&RSRCH:AFRICAN STUDIES","Evans,Kathleen","5","23","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","4W2","Four Week - Second","AFRI","AFRI-X","391","15730","INDIVL STDY OF AN AFRICAN LANG","Alramadan,Iman","5","6","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W1","Six Week - First","AMST","AMST-A","100","14841","WHAT IS AMERICA?","Lepselter,Susan Claudia","60","73",""," 3.388"," 3.109","0","53.3","38.3","6.7","1.7","13","13","11","8","7","8","8","1","2","1","0","1","0","0","4","7","1","0","0","0","0","0","1","0","09-10-2021"
"SU21","4215","6W1","Six Week - First","AMST","AMST-A","201","13037","U.S. MOVEMENTS & INSTITUTIONS","Frazier,Lessie Jo","16","23",""," 3.463"," 3.228","0","75.0","0.0","25.0","0.0","7","7","3","2","0","0","0","2","0","2","0","0","0","0","1","6","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W2","Six Week - Second","AMST","AMST-A","201","15110","U.S. MOVEMENTS & INSTITUTIONS","Mowatt,Rasul A","44","54",""," 3.032"," 3.076","0","56.8","20.5","2.3","11.4","14","17","4","4","3","4","2","1","0","0","0","5","0","4","0","10","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","8W2","Eight Week - Second","ANAT","ANAT-A","215","13807","BASIC HUMAN ANATOMY","Dougherty,George S.","15","22",""," 2.867"," 3.324","0","60.0","6.7","6.7","13.3","9","3","2","4","1","0","0","1","0","0","2","0","0","2","5","2","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","8W2","Eight Week - Second","ANAT","ANAT-A","215","13809","BASIC HUMAN ANATOMY","Dougherty,George S.","7","20",""," 1.914"," 2.814","0","28.6","14.3","14.3","14.3","15","0","2","0","0","0","1","0","1","0","0","0","1","2","9","4","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","8W2","Eight Week - Second","ANAT","ANAT-A","215","3805","BASIC HUMAN ANATOMY","Dougherty,George S.","15","23",""," 3.047"," 3.369","0","26.7","53.3","20.0","0.0","8","0","3","1","2","3","3","1","2","0","0","0","0","0","2","6","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","8W2","Eight Week - Second","ANAT","ANAT-A","215","5356","BASIC HUMAN ANATOMY","Dougherty,George S.","15","23",""," 2.767"," 3.345","0","26.7","26.7","33.3","13.3","8","1","3","0","1","3","0","3","2","0","1","1","0","0","2","6","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","1","Regular Academic Session","ANAT","ANAT-A","530","3808","SPECIAL TOPICS","O'Loughlin,Valerie D","1","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","1","Regular Academic Session","ANAT","ANAT-A","800","3809","RESEARCH IN ANATOMY","O'Loughlin,Valerie D","1","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W2","Six Week - Second","ANTH","ANTH-A","122","7143","INTERPERSONAL COMMUNICATION","Zhang,Shijing","18","31",""," 2.717"," 3.004","0","38.9","27.8","22.2","0.0","15","1","2","4","3","0","2","0","0","4","0","0","0","2","2","11","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W1","Six Week - First","ANTH","ANTH-A","576","15108","GRADUATE MUSEUM PRACTICUM","Jackson,Jason Baird","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W2","Six Week - Second","ANTH","ANTH-A","576","15109","GRADUATE MUSEUM PRACTICUM","Jackson,Jason Baird","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W1","Six Week - First","ANTH","ANTH-A","595","7420","GRADUATE READINGS IN ANTH","Wiley,Andrea S.","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W2","Six Week - Second","ANTH","ANTH-A","595","7424","GRADUATE READINGS IN ANTH","Wiley,Andrea S.","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W1","Six Week - First","ANTH","ANTH-A","595","7425","GRADUATE READINGS IN ANTH","Wiley,Andrea S.","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W1","Six Week - First","ANTH","ANTH-A","800","3810","RESEARCH","Wiley,Andrea S.","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W1","Six Week - First","ANTH","ANTH-A","800","4878","RESEARCH","Wiley,Andrea S.","0","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W2","Six Week - Second","ANTH","ANTH-A","800","4879","RESEARCH","Wiley,Andrea S.","1","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W1","Six Week - First","ANTH","ANTH-B","200","15263","BIOANTHROPOLOGY","Taboas,Charity Faith","24","25",""," 3.817"," 3.217","4","83.3","12.5","4.2","0.0","1","9","11","0","2","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W1","Six Week - First","ANTH","ANTH-B","200","4851","BIOANTHROPOLOGY","Johnson,Eric","24","25",""," 3.492"," 3.433","8","66.7","29.2","0.0","0.0","2","5","7","4","2","3","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","1","Regular Academic Session","ANTH","ANTH-G","901","15574","ADVANCED RESEARCH","Wiley,Andrea S.","3","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","OVS","Overseas Study","ANTH","ANTH-OS","100","15801","UNDISTRIBUTED OVERSEAS STUDY","","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","OVS","Overseas Study","ANTH","ANTH-OS","100","15807","UNDISTRIBUTED OVERSEAS STUDY","","5","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
