"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"S208","4085SS2","","","AAAD","AAAD-A","104","3914","GROUPS THEATRE WORKSHOP","Williams Jr,Dennis N","15","19",""," 3.847"," 2.763","0.0","93.3","0.0","6.7","0.0","4","0","14","0","0","0","0","0","0","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","AAAD","AAAD-A","150","3915","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","32","38",""," 3.500"," 2.752","0.0","50.0","50.0","0.0","0.0","6","0","5","11","12","3","1","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","AAAD","AAAD-A","355","4378","AFRO-AMERICAN HISTORY 1","Assensoh,Akwasi B.","20","26",""," 3.425"," 2.436","0.0","40.0","55.0","5.0","0.0","6","2","4","2","7","4","0","0","1","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","AAAD","AAAD-A","380","4108","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","13","23",""," 3.500"," 2.805","0.0","46.2","46.2","7.7","0.0","10","0","4","2","6","0","0","1","0","0","0","0","0","0","3","6","1","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","AAAD","AAAD-A","380","5165","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","26","30",""," 3.504"," 2.611","7.7","42.3","57.7","0.0","0.0","4","0","7","4","11","4","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","AAAD","AAAD-A","486","5620","INTRNSHP IN AFRO-AMERICAN STDS","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","AAAD","AAAD-A","495","3927","INDIV RDGS AFRO-AMER STUDIES","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","AAAD","AAAD-A","689","3932","INDEP. PROG. IN BLK LITERATURE","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","AAAD","AAAD-A","695","4165","MASTER'S THESIS COLLOQUIUM","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","AADM","AADM-Y","690","1323","INDPT STUDY IN ARTS ADMIN","Rushton,Michael","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","ABEH","ABEH-A","495","4771","ANIMAL BEHAVIOR INTERNSHIP","Demas,Gregory","0","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","AFRI","AFRI-A","651","14394","IND RESEARCH/DIRECTED READINGS","Frank Wilson,Marion","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","AMST","AMST-A","201","11537","U.S. MOVEMENTS & INSTITUTIONS","Friedman,Seth Andrew","10","11",""," 3.110"," 2.565","0.0","40.0","40.0","20.0","0.0","1","0","2","2","1","2","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","AMST","AMST-G","753","1328","INDEPENDENT STUDY","Guterl,Matthew T","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","ANAT","ANAT-A","215","1329","BASIC HUMAN ANATOMY","O'Loughlin,Valerie D","57","73",""," 2.818"," 2.964","0.0","40.4","24.6","17.5","10.5","20","1","14","8","3","9","2","6","3","1","4","2","0","4","3","13","0","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","ANTH","ANTH-A","200","4317","TOPICS IN ANTHROPOLOGY","Riall,Rebecca Lynn","3","16","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","ANTH","ANTH-A","408","1338","MUSEUM PRACTICUM","Conrad,Geoffrey W.","3","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","ANTH","ANTH-A","495","1340","INDIVIDUAL READINGS IN ANTH","Brondizio,Eduardo Sonnewend","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","ANTH","ANTH-A","496","1342","FIELD STUDY IN ANTHROPOLOGY","Brondizio,Eduardo Sonnewend","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","ANTH","ANTH-A","800","1344","RESEARCH","Brondizio,Eduardo Sonnewend","3","12","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","ANTH","ANTH-A","800","4321","RESEARCH","Brondizio,Eduardo Sonnewend","2","7","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","ANTH","ANTH-B","200","4325","BIOANTHROPOLOGY","Taylor,Robert Ralph","28","43",""," 2.557"," 2.719","12.5","21.4","39.3","28.6","3.6","17","1","3","2","1","5","5","1","5","2","0","0","1","2","4","11","0","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","ANTH","ANTH-E","105","4323","CULTURE & SOCIETY","Waldhubel,Noemie Anne","7","13",""," 2.900"," 3.058","0.0","14.3","57.1","28.6","0.0","6","0","0","1","1","2","1","2","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","ANTH","ANTH-E","303","4324","INTRO TO SOC & CULTURAL ANTH","Waldhubel,Noemie Anne","5","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","AST","AST-A ","100","1349","THE SOLAR SYSTEM","Lubell,Gabriel Michael","19","32",""," 2.368"," 2.708","0.0","21.1","31.6","26.3","5.3","16","0","2","2","3","2","1","2","1","2","0","1","0","3","1","11","0","0","0","0","0","1","0","0","09-12-2008"
"S208","4085SS2","","","AST","AST-A ","100","1350","THE SOLAR SYSTEM","Hamper,Randall Thomas","29","40",""," 2.903"," 2.887","0.0","27.6","41.4","31.0","0.0","11","1","1","6","4","0","8","6","1","2","0","0","0","0","3","8","0","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","AST","AST-A ","105","1353","STARS AND GALAXIES","Lubell,Gabriel Michael","29","42",""," 2.069"," 2.594","0.0","6.9","37.9","27.6","10.3","18","0","1","1","5","4","2","2","4","2","0","1","2","5","2","11","0","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","AST","AST-A ","890","1360","INTRODUCTION TO RESEARCH","Mufson,Stuart Lee","0","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","AST","AST-A ","899","1364","RESEARCH","Mufson,Stuart Lee","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","BIOC","BIOC-B","580","1367","INTRO TO BIOCHEMICAL RESEARCH","Oakley,Martha Gray","0","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","BIOC","BIOC-B","880","1369","RESEARCH: BIOCHEMISTRY","Oakley,Martha Gray","0","32","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
"S208","4085SS2","","","BIOL","BIOL-B","351","1370","FUNGI","Tansey,Michael R.","22","29",""," 2.955"," 3.059","78.3","22.7","50.0","27.3","0.0","7","3","2","0","0","11","0","0","6","0","0","0","0","0","0","6","1","0","0","0","0","0","0","0","09-12-2008"
"S208","4085SS2","","","BIOL","BIOL-B","352","1371","FUNGI - LABORATORY","Tansey,Michael R.","12","19",""," 3.300"," 2.940","80.0","50.0","25.0","25.0","0.0","7","1","5","0","2","1","0","0","3","0","0","0","0","0","1","4","1","0","0","0","0","0","1","0","09-12-2008"
"S208","4085SS2","","","BIOL","BIOL-L","490","1379","INDIVIDUAL STUDY","Palmer,Jeffrey D.","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2008"
