"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"S109","4095SS1","","","AAAD","AAAD-A","355","4140","AFRICAN-AMERICAN HISTORY I","Assensoh,Akwasi B.","24","26",""," 3.779"," 2.558","8.3","79.2","20.8","0.0","0.0","2","6","7","6","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","07-17-2009"
"S109","4095SS1","","","AAAD","AAAD-A","388","3696","MOTOWN","Sykes,Charles Evans","35","40",""," 3.231"," 2.627","5.6","54.3","25.7","11.4","8.6","5","9","5","5","2","4","3","2","1","1","2","1","0","0","1","4","0","0","0","0","0","0","0","0","07-17-2009"
"S109","4095SS1","","","AAAD","AAAD-A","495","3717","INDIV READ IN AFR AMER STUDIES","Martin,Michael T","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-17-2009"
"S109","4095SS1","","","AAAD","AAAD-A","495","3723","INDIV READ IN AFR AMER STUDIES","Martin,Michael T","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-17-2009"
"S109","4095SS1","","","AAAD","AAAD-A","689","3727","INDEP. PROG. IN BLK LITERATURE","Martin,Michael T","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-17-2009"
"S109","4095SS1","","","AAAD","AAAD-A","698","3728","FIELD STUDY SEMINAR","Martin,Michael T","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-17-2009"
"S109","4095SS1","","","AMID","AMID-R","309","12311","STRATEGIES IN RETAIL PROMOTION","Rausch,Charity A","24","32",""," 2.758"," 2.720","84.6","8.3","54.2","37.5","0.0","8","0","1","1","3","5","5","7","2","0","0","0","0","0","2","6","0","0","0","0","0","0","0","0","07-17-2009"
"S109","4095SS1","","","AMID","AMID-R","315","5437","PRINCIPLES-RETAIL MERCHANDISNG","Shaffer,Janis Lynn","23","25",""," 3.117"," 2.830","80.0","21.7","69.6","8.7","0.0","2","0","3","2","6","5","5","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","07-17-2009"
"S109","4095SS1","","","AMST","AMST-A","200","11952","COMPARATIVE AMER IDENTITIES","Barwick,M. C.","7","10",""," 3.957"," 2.800","14.3","100.0","0.0","0.0","0.0","3","0","6","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","07-17-2009"
"S109","4095SS1","","","AMST","AMST-G","753","1313","INDEPENDENT STUDY","Guterl,Matthew T","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-17-2009"
"S109","4095SS1","","","ANTH","ANTH-A","105","4081","HUMAN ORIGINS & PREHISTORY","Samson,David Ryan","15","17",""," 3.480"," 2.922","0.0","66.7","26.7","6.7","0.0","2","0","5","5","1","1","2","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","07-17-2009"
