"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","100","10929","AF AM DANCE COMPNY FOUNDATIONS","Berry Jr,Stafford C","9","9",""," 4.000"," 3.314","0","100.0","0.0","0.0","0.0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","13W","Thirteen Week","AAAD","AAAD-A","110","4009","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","17","25",""," 3.335"," 3.107","4.3","58.8","17.6","23.5","0.0","8","9","1","0","1","1","1","1","1","2","0","0","0","0","2","2","0","0","0","0","0","0","4","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","113","9856","ATKINS LLC FOUNDATIONAL COURSE","Stokes,Brandon","9","9",""," 3.633"," 3.110","0","77.8","11.1","11.1","0.0","0","4","1","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","13W","Thirteen Week","AAAD","AAAD-A","120","4010","SOUL REVUE FOUNDATIONS","Strong Jr,James Augustas","12","12",""," 3.750"," 3.458","0","75.0","25.0","0.0","0.0","0","2","7","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","150","31384","SURV CULTR OF BLACK AMERICANS","Duckett,Taylor Dulea","33","35",""," 3.409"," 2.994","0","63.6","24.2","9.1","0.0","3","8","9","4","3","2","3","0","2","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","150","4011","SURV CULTR OF BLACK AMERICANS","Elmore,Raheem Terrell Rashawn","32","38",""," 2.931"," 2.898","2.9","25.0","43.8","25.0","6.3","6","2","2","4","5","9","0","5","2","1","1","1","0","0","2","4","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","156","12260","JIM CROW AND APARTHEID","Horton,Samantha Marie","27","32",""," 2.948"," 2.987","3.3","55.6","14.8","11.1","3.7","9","5","8","2","1","3","0","2","1","0","1","0","0","4","3","2","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","210","8601","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","26","35",""," 2.823"," 2.619","0","34.6","34.6","19.2","3.8","11","1","4","4","1","6","2","4","1","0","0","0","1","2","6","3","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","INT","Intersession","AAAD","AAAD-A","219","34014","HISTORY OF BLACK DANCE","Berry Jr,Stafford C","8","8",""," 4.000"," 3.029","0","100.0","0.0","0.0","0.0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","8W2","Eight Week - Second","AAAD","AAAD-A","221","12513","DANCE IN THE AFRICAN DIASPORA","Berry Jr,Stafford C","20","32",""," 2.705"," 2.881","0","25.0","50.0","10.0","5.0","14","0","3","2","3","2","5","0","2","0","1","0","0","2","3","9","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","250","36765","U.S. CONTEMPORARY MINORITIES","Myers,Amrita","4","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","263","11883","CONTEMP SOC ISS-AFR AMER COMM","Hamilton Abegunde,Maria Eliza","27","38",""," 3.530"," 2.906","0","77.8","11.1","3.7","0.0","13","3","18","0","1","2","0","0","1","0","0","0","0","2","6","5","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","264","38004","HIST SPORT&AFRO-AMERICAN EXPER","Sailes,Gary A.","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","264","4601","HIST SPORT&AFRO-AMERICAN EXPER","Sailes,Gary A.","105","114",""," 3.413"," 3.000","0.9","61.0","29.5","4.8","2.9","11","10","26","28","17","11","3","2","1","2","2","1","0","2","8","1","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","295","6896","SURVEY OF HIP HOP","Orejuela,Fernando","87","93",""," 3.626"," 3.201","0","72.4","19.5","5.7","1.1","7","53","9","1","6","6","5","5","0","0","0","1","0","1","2","4","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","297","10483","POPULAR MUSIC OF BLACK AMERICA","Cooper,Tyron","30","40",""," 3.490"," 3.043","0","73.3","13.3","6.7","3.3","11","11","9","2","1","2","1","1","0","1","1","0","0","1","4","6","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","332","31517","ART OF CIVIL RIGHTS MOVEMENT","Wolfskill,Phoebe","26","32",""," 3.215"," 3.111","10.3","34.6","57.7","3.8","0.0","7","0","5","4","7","7","1","0","1","0","0","0","0","1","3","3","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","13W","Thirteen Week","AAAD","AAAD-A","337","9857","SOUL REVUE ADV STU PRACT","Strong Jr,James Augustas","8","8",""," 3.625"," 3.162","0","62.5","37.5","0.0","0.0","0","3","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","338","10930","AF AM DANCE CO ADV STDIES PRAC","Berry Jr,Stafford C","8","10",""," 4.000"," 3.043","11.1","100.0","0.0","0.0","0.0","2","0","8","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","01-22-2021"
"FA20","4208","13W","Thirteen Week","AAAD","AAAD-A","339","9858","AACE ADV STU AND PRACT","Wise,Raymond","8","11",""," 3.525"," 3.208","27.3","87.5","0.0","12.5","0.0","3","2","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","01-22-2021"
"FA20","4208","1","Regular Academic Session","AAAD","AAAD-A","350","14206","BLACK ATLANTIC","Rodriguez,Judith","18","28",""," 3.222"," 2.826","8.7","66.7","5.6","11.1","16.7","10","0","12","0","0","1","0","0","2","0","0","3","0","0","5","5","0","0","0","0","0","0","0","0","01-22-2021"
