"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"FA21","4218","1","Regular Academic Session","AAAD","AAAD-A","100","19016","AF AM DANCE COMPNY FOUNDATIONS","Berry Jr,Stafford C","8","13",""," 3.838"," 2.980","7.7","87.5","12.5","0.0","0.0","5","0","5","2","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","0","01-21-2022"
"FA21","4218","13W","Thirteen Week","AAAD","AAAD-A","110","12662","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","12","24",""," 3.617"," 2.723","0","91.7","0.0","0.0","0.0","13","2","7","2","0","0","0","0","0","0","0","0","0","1","3","3","0","0","0","0","0","0","6","0","01-21-2022"
"FA21","4218","1","Regular Academic Session","AAAD","AAAD-A","113","18080","ATKINS LLC FOUNDATIONAL COURSE","Stokes,Brandon","21","27",""," 3.052"," 2.796","0","57.1","19.0","9.5","4.8","8","9","2","1","1","0","3","1","1","0","0","0","1","2","5","1","0","0","0","0","0","0","0","0","01-21-2022"
"FA21","4218","13W","Thirteen Week","AAAD","AAAD-A","120","12663","SOUL REVUE FOUNDATIONS","Strong Jr,James Augustas","8","8",""," 4.000"," 3.109","0","100.0","0.0","0.0","0.0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-21-2022"
"FA21","4218","1","Regular Academic Session","AAAD","AAAD-A","150","12664","SURV CULTR OF BLACK AMERICANS","Clark,Madison Stephens","34","40",""," 2.929"," 3.032","8.3","52.9","14.7","11.8","11.8","9","8","10","0","1","4","0","1","3","0","0","4","0","3","2","4","0","0","0","0","0","0","0","0","01-21-2022"
"FA21","4218","1","Regular Academic Session","AAAD","AAAD-A","150","21899","SURV CULTR OF BLACK AMERICANS","Williams III,El","33","37",""," 3.791"," 3.013","0","84.8","12.1","3.0","0.0","4","8","16","4","1","3","0","0","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","01-21-2022"
"FA21","4218","1","Regular Academic Session","AAAD","AAAD-A","156","20134","JIM CROW AND APARTHEID","Duckett,Taylor Dulea","33","39",""," 3.652"," 3.203","2.9","84.8","9.1","0.0","3.0","7","16","8","4","0","3","0","0","0","0","0","0","1","1","2","4","0","0","0","0","0","0","0","0","01-21-2022"
"FA21","4218","1","Regular Academic Session","AAAD","AAAD-A","210","16937","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","32","41",""," 2.444"," 3.090","0","9.4","46.9","31.3","9.4","10","0","2","1","2","7","6","3","2","5","1","2","0","1","2","7","0","0","0","0","0","0","0","0","01-21-2022"
"FA21","4218","INT","Intersession","AAAD","AAAD-A","219","22656","HISTORY OF BLACK DANCE","Berry Jr,Stafford C","11","13",""," 4.000"," 3.526","0","100.0","0.0","0.0","0.0","2","0","11","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","01-21-2022"
"FA21","4218","8W2","Eight Week - Second","AAAD","AAAD-A","221","20348","DANCE IN THE AFRICAN DIASPORA","Berry Jr,Stafford C","19","39",""," 3.574"," 3.149","0","73.7","21.1","5.3","0.0","20","5","4","5","1","1","2","0","0","1","0","0","0","0","5","15","0","0","0","0","0","0","0","0","01-21-2022"
"FA21","4218","1","Regular Academic Session","AAAD","AAAD-A","263","19862","CONTEMP SOC ISS-AFR AMER COMM","Hamilton Abegunde,Maria Eliza","29","43",""," 3.690"," 2.930","0","82.8","10.3","3.4","0.0","15","0","24","0","0","3","0","0","1","0","0","0","0","1","6","8","0","0","0","0","0","0","0","0","01-21-2022"
