"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHERCNT","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","100","3569","AF AM DANCE COMPNY FOUNDATIONS","Berry Jr,Stafford C","4","6","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","110","3570","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","14","18",""," 3.593"," 3.188","0","64.3","28.6","7.1","0.0","4","1","6","2","4","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","2","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","113","7329","ATKINS LLC FOUNDATIONAL COURSE","Hunt,Alexus","12","12",""," 3.067"," 2.418","0","58.3","16.7","8.3","16.7","0","2","3","2","0","1","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","120","3571","SOUL REVUE FOUNDATIONS","Strong Jr,James Augustas","14","16",""," 3.979"," 3.258","0","100.0","0.0","0.0","0.0","2","7","6","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","150","3572","SURV CULTR OF BLACK AMERICANS","Thomas,Dereka J","35","48",""," 3.394"," 3.174","2.6","68.6","14.3","11.4","2.9","14","8","9","7","2","1","2","3","0","1","1","0","0","1","3","10","0","0","0","0","0","0","0","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","150","3573","SURV CULTR OF BLACK AMERICANS","Giddings,Jeffery Christopher","38","45",""," 3.513"," 3.149","0","68.4","21.1","7.9","2.6","7","10","10","6","3","4","1","0","2","1","0","1","0","0","3","4","0","0","0","0","0","0","0","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","154","8537","HISTORY OF RACE IN AMERICAS","Duckett,Ajewole","34","43",""," 3.835"," 3.340","2.9","88.2","8.8","2.9","0.0","9","18","9","3","0","3","0","1","0","0","0","0","0","0","1","8","0","0","0","0","0","0","0","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","255","36420","THE BLACK CHURCH IN AMERICA","Carter,J Kameron","12","22",""," 2.992"," 2.969","6.3","33.3","41.7","16.7","0.0","11","0","2","2","5","0","0","1","0","1","0","0","0","1","4","6","0","0","0","0","0","0","0","0","06-09-2023"
"SP23","4232","8W2","Eight Week - Second","AAAD","AAAD-A","263","36385","CONTEMP SOC ISS-AFR AMER COMM","Calloway-Thomas,Carolyn","11","40",""," 2.182"," 2.675","0","9.1","54.5","9.1","0.0","32","0","1","0","3","1","2","0","0","1","0","0","0","3","10","18","1","0","0","0","0","0","0","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","265","3574","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","166","193",""," 3.095"," 3.068","0","39.8","41.6","13.3","1.2","34","7","30","29","24","29","16","10","10","2","2","0","0","7","8","19","0","0","0","0","0","0","0","0","06-09-2023"
"SP23","4232","8W2","Eight Week - Second","AAAD","AAAD-A","275","36395","BLACK DIASPORA LANG & IDENTITY","Smith,Candis D","18","31",""," 1.406"," 2.529","0","11.1","5.6","22.2","33.3","18","0","1","1","1","0","0","1","2","1","2","3","1","5","7","6","0","0","0","0","0","0","0","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","295","5303","SURVEY OF HIP HOP","Orejuela,Fernando","85","106",""," 3.593"," 3.298","0","72.9","18.8","5.9","0.0","23","37","17","8","7","5","4","3","2","0","0","0","0","2","5","16","0","0","0","0","0","0","0","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","337","7330","SOUL REVUE ADV STU PRACT","Strong Jr,James Augustas","7","7",""," 3.957"," 3.415","0","100.0","0.0","0.0","0.0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","338","7331","AF AM DANCE CO ADV STDIES PRAC","Berry Jr,Stafford C","8","10",""," 4.000"," 3.380","10","100.0","0.0","0.0","0.0","2","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","339","7332","AACE ADV STU AND PRACT","Wise,Raymond","9","13",""," 3.811"," 2.782","8.3","77.8","22.2","0.0","0.0","4","2","4","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","06-09-2023"
"SP23","4232","1","Regular Academic Session","AAAD","AAAD-A","356","3581","AFRICAN-AMERICAN HISTORY II","Williams,Jakobi","34","47",""," 3.209"," 3.086","8.3","35.3","47.1","14.7","2.9","13","3","5","4","8","5","3","5","0","0","1","0","0","0","2","11","0","0","0","0","0","0","0","0","06-09-2023"
