"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"FA19","4198","1","Regular Academic Session","AAAD","AAAD-A","100","11915","AF AM DANCE COMPNY FOUNDATIONS","Berry Jr,Stafford C","13","20",""," 3.800"," 3.068","0","84.6","15.4","0.0","0.0","7","0","8","3","1","1","0","0","0","0","0","0","0","0","4","3","0","0","0","0","0","0","0","0","01-24-2020"
"FA19","4198","1","Regular Academic Session","AAAD","AAAD-A","110","4219","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","17","34",""," 3.694"," 3.046","6.1","76.5","23.5","0.0","0.0","17","2","5","6","2","2","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","12","0","01-24-2020"
"FA19","4198","1","Regular Academic Session","AAAD","AAAD-A","113","10658","ATKINS LLC FOUNDATIONAL COURSE","Stokes,Brandon","26","27",""," 3.215"," 2.789","0","50.0","38.5","0.0","3.8","3","1","10","2","6","2","2","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","01-24-2020"
"FA19","4198","1","Regular Academic Session","AAAD","AAAD-A","120","4220","SOUL REVUE FOUNDATIONS","Strong Jr,James Augustas","8","8",""," 4.000"," 3.397","0","100.0","0.0","0.0","0.0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2020"
"FA19","4198","1","Regular Academic Session","AAAD","AAAD-A","150","4221","SURV CULTR OF BLACK AMERICANS","Wester,Maisha","59","74",""," 2.625"," 2.572","1.5","35.6","27.1","15.3","11.9","21","8","6","7","5","7","4","1","7","1","1","4","2","6","8","7","0","0","0","0","0","0","0","0","01-24-2020"
"FA19","4198","1","Regular Academic Session","AAAD","AAAD-A","156","13838","JIM CROW AND APARTHEID","Horton,Samantha Marie","28","32",""," 3.346"," 2.694","6.9","53.6","28.6","17.9","0.0","4","0","11","4","3","2","3","3","2","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","01-24-2020"
"FA19","4198","1","Regular Academic Session","AAAD","AAAD-A","210","9237","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","18","25",""," 2.133"," 2.864","8.3","16.7","22.2","33.3","16.7","9","0","2","1","1","1","2","1","4","1","1","1","1","2","6","1","0","0","0","0","0","0","0","0","01-24-2020"
"FA19","4198","8W2","Eight Week - Second","AAAD","AAAD-A","221","14263","DANCE IN THE AFRICAN DIASPORA","Berry Jr,Stafford C","26","31",""," 2.850"," 3.066","0","42.3","23.1","23.1","3.8","7","0","6","5","3","2","1","1","5","0","0","0","1","2","0","5","0","0","0","0","0","0","0","0","01-24-2020"
"FA19","4198","1","Regular Academic Session","AAAD","AAAD-A","251","30879","PHOTOGRPHY & AFRICAN DIASPORA","Wolfskill,Phoebe","15","18",""," 2.860"," 2.900","0","33.3","40.0","20.0","6.7","3","1","1","3","0","3","3","0","2","1","0","1","0","0","1","2","0","0","0","0","0","0","0","0","01-24-2020"
"FA19","4198","1","Regular Academic Session","AAAD","AAAD-A","263","13165","CONTEMP SOC ISS-AFR AMER COMM","Hamilton Abegunde,Maria Eliza","21","27",""," 3.700"," 2.869","0","85.7","4.8","4.8","4.8","6","2","16","0","0","0","1","0","1","0","0","1","0","0","5","1","0","0","0","0","0","0","0","0","01-24-2020"
