"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"S210","4105SS2","","","AAAD","AAAD-A","104","8717","GROUPS THEATRE WORKSHOP","McCutchen,Keith D.","22","30",""," 3.968"," 2.821","0.0","95.5","4.5","0.0","0.0","8","0","21","0","1","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","1","0","0","09-10-2010"
"S210","4105SS2","","","AAAD","AAAD-A","150","8718","SURV CULTR OF BLACK AMERICANS","Assensoh,Akwasi B.","41","53",""," 3.666"," 2.798","4.8","65.9","34.1","0.0","0.0","12","6","11","10","11","3","0","0","0","0","0","0","0","0","1","11","0","0","0","0","0","0","0","0","09-10-2010"
"S210","4105SS2","","","AAAD","AAAD-A","169","14178","INTRO TO AFRICAN AMERICAN LIT","McElroy,Frederick L.","9","23",""," 3.467"," 2.682","18.2","77.8","11.1","11.1","0.0","14","0","2","5","0","0","1","0","1","0","0","0","0","0","1","12","1","0","0","0","0","0","0","0","09-10-2010"
"S210","4105SS2","","","AAAD","AAAD-A","380","9682","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","24","25",""," 3.283"," 2.819","24.0","37.5","58.3","4.2","0.0","1","0","2","7","5","6","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","09-10-2010"
"S210","4105SS2","","","AAAD","AAAD-A","486","9878","INTERNSHIP IN AFR AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2010"
"S210","4105SS2","","","AAAD","AAAD-A","495","8719","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2010"
"S210","4105SS2","","","AAAD","AAAD-A","495","8733","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2010"
"S210","4105SS2","","","AAAD","AAAD-A","669","8734","INDEP PROJ BLACK SOCIAL ISSUES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2010"
"S210","4105SS2","","","AAAD","AAAD-A","689","8735","INDEP. PROG. IN BLK LITERATURE","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2010"
"S210","4105SS2","","","AAAD","AAAD-A","695","8916","MASTER'S THESIS COLLOQUIUM","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2010"
"S210","4105SS2","","","AAAD","AAAD-G","599","15236","THESIS RESEARCH","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2010"
