"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SU22","4225","6W2","Six Week - Second","AAAD","AAAD-A","150","14642","SURV CULTR OF BLACK AMERICANS","Clark,Madison Stephens","32","36",""," 3.600"," 3.441","0","75.0","15.6","9.4","0.0","4","13","5","6","2","2","1","0","2","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","09-09-2022"
"SU22","4225","6W2","Six Week - Second","AAAD","AAAD-A","265","7228","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","35","39",""," 3.511"," 3.277","0","62.9","31.4","5.7","0.0","4","3","6","13","6","4","1","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","09-09-2022"
"SU22","4225","1","Regular Academic Session","AAAD","AAAD-A","669","4646","INDEP PROJ BLACK SOCIAL ISSUES","Calloway-Thomas,Carolyn","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2022"
"SU22","4225","6W1","Six Week - First","AAAD","AAAD-A","686","14635","GRAD INTERNSHIP AFRO-AMER STDS","Williams,Jakobi","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2022"
"SU22","4225","1","Regular Academic Session","AAAD","AAAD-A","699","4649","INDPT PROJECT IN BLACK MUS","Calloway-Thomas,Carolyn","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2022"
"SU22","4225","1","Regular Academic Session","AAAD","AAAD-G","901","14844","ADVANCED RESEARCH","Calloway-Thomas,Carolyn","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2022"
"SU22","4225","6W2","Six Week - Second","AADM","AADM-Y","515","13559","FINANCIAL MANAGEMENT FOR ARTS","Woronkowicz,Joanna","13","13",""," 3.623"," 3.761","61.5","69.2","30.8","0.0","0.0","0","4","1","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-09-2022"
"SU22","4225","6W1","Six Week - First","AADM","AADM-Y","550","3732","PRACTICUM IN ARTS ADMIN","Starnes,Megan R","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2022"
"SU22","4225","6W2","Six Week - Second","AADM","AADM-Y","550","3733","PRACTICUM IN ARTS ADMIN","Starnes,Megan R","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2022"
"SU22","4225","1","Regular Academic Session","AADM","AADM-Y","550","6678","PRACTICUM IN ARTS ADMIN","Starnes,Megan R","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2022"
