"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"FA10","4108","","","AAAD","AAAD-A","100","17068","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","16","18",""," 3.938"," 2.964","5.6","93.8","6.3","0.0","0.0","2","11","4","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","110","17069","AFRICAN AMERCN CHORAL ENSEMBLE","McCutchen,Keith D.","10","12",""," 4.000"," 3.097","20.0","100.0","0.0","0.0","0.0","2","7","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","120","17070","SOUL REVUE","Mahluli,Nathanael Fareed","12","13",""," 4.000"," 3.079","0.0","100.0","0.0","0.0","0.0","1","5","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","141","17072","INTRO WRITNG & ST OF BL LIT 1","Drieling,Claudia","28","32",""," 3.025"," 2.885","3.4","35.7","39.3","17.9","7.1","4","1","5","4","3","5","3","4","1","0","0","1","1","0","1","3","0","0","0","0","0","0","0","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","150","17077","SURV CULTR OF BLACK AMERICANS","Horton-Stallings,Lamonda","150","175",""," 3.670"," 2.971","0.6","77.3","17.3","3.3","2.0","25","23","70","23","10","13","3","1","3","1","1","2","0","0","6","19","0","0","0","0","0","0","0","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","154","27697","HISTORY OF RACE IN AMERICAS","Seigel,Micol","28","34",""," 3.286"," 2.973","3.3","46.4","39.3","10.7","3.6","6","0","11","2","1","10","0","1","2","0","0","1","0","0","2","4","0","0","0","0","0","0","0","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","205","35135","BLACK ELECTORAL POLITICS","Stanfield,John H.","20","43",""," 2.685"," 2.534","0.0","40.0","20.0","25.0","0.0","26","4","3","1","0","3","1","1","4","0","0","0","0","3","6","15","2","0","0","0","0","0","0","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","210","18736","BLACK WOMEN IN THE DIASPORA","McCluskey,Audrey T.","34","49",""," 2.824"," 2.492","4.7","5.9","70.6","23.5","0.0","15","0","2","0","8","6","10","4","2","2","0","0","0","0","9","6","0","0","0","0","0","0","0","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","221","20500","DANCE IN THE AFRICAN DIASPORA","Rosa,Iris","28","38",""," 3.450"," 2.857","10.0","71.4","7.1","17.9","0.0","11","18","0","2","1","1","0","3","2","0","0","0","0","1","2","8","0","0","0","0","0","0","0","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","249","30868","AFRICAN AMERICAN AUTOBIOGRAPHY","Drieling,Claudia","26","27",""," 3.688"," 3.056","7.7","88.5","7.7","0.0","0.0","2","3","11","9","2","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","255","27701","THE BLACK CHURCH IN AMERICA","Stanfield,John H.","16","35",""," 3.569"," 2.884","3.4","68.8","25.0","6.3","0.0","19","6","2","3","2","1","1","0","0","1","0","0","0","0","13","6","0","0","0","0","0","0","0","0","01-21-2011"
"FA10","4108","","","AAAD","AAAD-A","264","18738","HIST SPORT&AFRO-AMERICAN EXPER","Sailes,Gary A.","154","172",""," 3.171"," 2.816","0.0","39.0","44.2","14.3","1.9","19","2","42","16","14","47","7","6","11","5","0","2","1","1","5","10","3","0","0","0","0","0","0","0","01-21-2011"
