"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"S209","4095SS2","","","AAAD","AAAD-A","104","3731","GROUPS THEATRE WORKSHOP","Williams Jr,Dennis N","34","40",""," 4.000"," 2.982","0.0","100.0","0.0","0.0","0.0","6","6","28","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","09-12-2009"
"S209","4095SS2","","","AAAD","AAAD-A","150","3732","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","43","57",""," 3.542"," 2.825","0.0","55.8","41.9","2.3","0.0","14","0","14","10","11","6","1","1","0","0","0","0","0","0","2","12","0","0","0","0","0","0","0","0","09-12-2009"
"S209","4095SS2","","","AAAD","AAAD-A","380","3899","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","20","36",""," 3.285"," 2.592","4.8","30.0","70.0","0.0","0.0","16","0","2","4","5","7","2","0","0","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","09-12-2009"
"S209","4095SS2","","","AAAD","AAAD-A","380","4830","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","23","29",""," 3.461"," 2.708","0.0","56.5","43.5","0.0","0.0","6","0","2","11","5","3","2","0","0","0","0","0","0","0","1","3","2","0","0","0","0","0","0","0","09-12-2009"
"S209","4095SS2","","","AAAD","AAAD-A","495","3733","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2009"
"S209","4095SS2","","","AAAD","AAAD-A","495","3735","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2009"
"S209","4095SS2","","","AAAD","AAAD-A","495","3739","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2009"
"S209","4095SS2","","","AAAD","AAAD-A","495","3741","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2009"
"S209","4095SS2","","","AAAD","AAAD-A","495","3745","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2009"
"S209","4095SS2","","","AAAD","AAAD-A","689","3749","INDEP. PROG. IN BLK LITERATURE","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-12-2009"
