"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SU19","4195","6W2","Six Week - Second","AAAD","AAAD-A","132","11420","RECENT AAAD LITERATURE","Doss,Adeyemi Oduwale","40","41",""," 3.710"," 3.383","0","75.0","22.5","2.5","0.0","1","2","22","6","3","6","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-06-2019"
"SU19","4195","6W2","Six Week - Second","AAAD","AAAD-A","150","11421","SURV CULTR OF BLACK AMERICANS","Sterling,Andrea Marie","29","29",""," 2.845"," 3.065","0","31.0","41.4","17.2","6.9","1","1","5","3","4","3","5","2","2","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","09-06-2019"
"SU19","4195","6W2","Six Week - Second","AAAD","AAAD-A","169","11422","INTRO TO AFRICAN AMERICAN LIT","Wise,Raymond","36","37",""," 3.939"," 3.640","0","97.2","2.8","0.0","0.0","1","20","10","5","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-06-2019"
"SU19","4195","6W2","Six Week - Second","AAAD","AAAD-A","265","11880","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","34","35",""," 3.421"," 3.316","0","47.1","47.1","5.9","0.0","1","3","8","5","7","6","3","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-06-2019"
"SU19","4195","6W2","Six Week - Second","AAAD","AAAD-A","388","12514","MOTOWN","Sykes,Charles Evans","13","21",""," 2.869"," 2.581","0","30.8","30.8","30.8","7.7","8","2","0","2","3","0","1","1","3","0","0","1","0","0","2","6","0","0","0","0","0","0","0","0","09-06-2019"
"SU19","4195","1","Regular Academic Session","AAAD","AAAD-A","669","8633","INDEP PROJ BLACK SOCIAL ISSUES","Calloway-Thomas,Carolyn","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019"
"SU19","4195","6W2","Six Week - Second","AAAD","AAAD-A","697","15593","SPECIAL TOPICS IN AAADS","Calloway-Thomas,Carolyn","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019"
"SU19","4195","1","Regular Academic Session","AAAD","AAAD-A","698","8635","FIELD STUDY SEMINAR","Calloway-Thomas,Carolyn","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019"
"SU19","4195","1","Regular Academic Session","AAAD","AAAD-A","899","9918","PHD DISSERTATION RESEARCH","Calloway-Thomas,Carolyn","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019"
"SU19","4195","1","Regular Academic Session","AAAD","AAAD-G","901","14717","ADVANCED RESEARCH","Calloway-Thomas,Carolyn","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019"
