"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SP20","4202","1","Regular Academic Session","AAAD","AAAD-A","100","4206","AF AM DANCE COMPNY FOUNDATIONS","Berry Jr,Stafford C","14","21",""," 3.857"," 2.979","0","92.9","0.0","7.1","0.0","7","5","8","0","0","0","0","0","1","0","0","0","0","0","1","5","0","0","0","0","0","0","1","0","06-12-2020"
"SP20","4202","1","Regular Academic Session","AAAD","AAAD-A","110","4207","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","24","40",""," 3.888"," 2.914","2.8","100.0","0.0","0.0","0.0","16","7","8","9","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","2","0","0","9","0","06-12-2020"
"SP20","4202","1","Regular Academic Session","AAAD","AAAD-A","113","9494","ATKINS LLC FOUNDATIONAL COURSE","Stokes,Brandon","8","12",""," 3.838"," 2.718","8.3","87.5","12.5","0.0","0.0","4","3","4","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","06-12-2020"
"SP20","4202","1","Regular Academic Session","AAAD","AAAD-A","120","4208","SOUL REVUE FOUNDATIONS","Strong Jr,James Augustas","6","6",""," 4.000"," 3.429","0","100.0","0.0","0.0","0.0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-12-2020"
"SP20","4202","1","Regular Academic Session","AAAD","AAAD-A","150","4209","SURV CULTR OF BLACK AMERICANS","Elmore,Raheem Terrell Rashawn","33","38",""," 3.345"," 3.047","8.6","60.6","21.2","15.2","0.0","6","4","11","5","2","3","2","4","0","1","0","0","0","1","0","3","0","0","0","2","0","0","0","0","06-12-2020"
"SP20","4202","1","Regular Academic Session","AAAD","AAAD-A","150","4210","SURV CULTR OF BLACK AMERICANS","Duckett,Taylor Dulea","26","34",""," 3.708"," 2.884","3.2","80.8","11.5","7.7","0.0","8","11","7","3","2","1","0","0","1","1","0","0","0","0","2","3","0","0","0","3","0","0","0","0","06-12-2020"
"SP20","4202","1","Regular Academic Session","AAAD","AAAD-A","154","11462","HISTORY OF RACE IN AMERICAS","Horton,Samantha Marie","33","44",""," 3.658"," 3.140","0","66.7","33.3","0.0","0.0","11","6","11","5","6","3","2","0","0","0","0","0","0","0","2","8","0","0","0","1","0","0","0","0","06-12-2020"
"SP20","4202","1","Regular Academic Session","AAAD","AAAD-A","203","11776","STUDYING BLACKS OF NEW WORLD","Smith,Candis D","13","30",""," 2.700"," 2.772","0","38.5","30.8","15.4","0.0","19","0","3","2","1","0","3","1","1","0","0","0","0","2","5","6","0","0","0","6","0","0","0","0","06-12-2020"
"SP20","4202","8W2","Eight Week - Second","AAAD","AAAD-A","210","35794","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","8","18",""," 2.663"," 2.648","0","50.0","12.5","12.5","0.0","12","0","4","0","0","1","0","1","0","0","0","0","0","2","0","6","0","0","0","4","0","0","0","0","06-12-2020"
"SP20","4202","1","Regular Academic Session","AAAD","AAAD-A","222","30638","BLACK WOMEN ARTISTS","Wolfskill,Phoebe","15","27",""," 2.647"," 3.111","4.2","40.0","26.7","13.3","0.0","15","0","3","3","0","4","0","2","0","0","0","0","0","3","2","3","0","0","0","7","0","0","0","0","06-12-2020"
